Date,Close/Last,Volume,Open,High,Low
08/29/2019,20705,6234,20475,20725,20360
08/28/2019,20515,6590,20415,20520,20315
08/27/2019,20415,7625,20530,20565,20365
08/26/2019,20540,18812,20050,20600,19845
08/23/2019,20195,14454,20610,20720,20135
08/22/2019,20595,4746,20700,20745,20530
08/21/2019,20685,4656,20455,20725,20450
08/20/2019,20485,5441,20630,20665,20455
08/19/2019,20645,5303,20570,20685,20485
08/16/2019,20570,6992,20315,20595,20280
08/15/2019,20320,20722,20080,20500,20075
08/14/2019,20125,15428,20735,20765,20100
08/13/2019,20725,21829,20285,20760,20215
08/12/2019,20280,10928,20525,20585,20220
08/09/2019,20490,10356,20720,20765,20370
08/08/2019,20780,11867,20610,20795,20445
08/07/2019,20610,17264,20630,20650,20220
08/06/2019,20630,22339,20185,20650,19900
08/05/2019,20250,22511,20885,20925,20170
08/02/2019,20885,20815,21030,21155,20765
08/01/2019,21045,18582,21315,21570,21025
07/31/2019,21375,11039,21505,21565,21245
07/30/2019,21485,6951,21630,21770,21455
07/29/2019,21625,5729,21650,21660,21490
07/26/2019,21655,6817,21615,21680,21570
07/25/2019,21625,9280,21730,21805,21595
07/24/2019,21745,6222,21690,21750,21605
07/23/2019,21700,7113,21410,21705,21375
07/22/2019,21390,5164,21290,21415,21280
07/19/2019,21270,9148,21160,21445,21095
07/18/2019,21135,9724,21290,21315,20965
07/17/2019,21330,6896,21470,21470,21285
07/16/2019,21485,6228,21575,21630,21445
07/15/2019,21600,3831,21600,21690,21510
07/12/2019,21585,4564,21615,21685,21565
07/11/2019,21610,8213,21535,21635,21510
07/10/2019,21545,6160,21530,21625,21480
07/09/2019,21515,5576,21580,21665,21460
07/08/2019,21595,4565,21730,21735,21475
07/05/2019,21665,6526,21725,21730,21570
07/03/2019,21705,649,21725,21730,21645
07/02/2019,21710,6410,21675,21760,21585
07/01/2019,21695,9808,21560,21825,21540
06/28/2019,21320,6660,21225,21380,21170
06/27/2019,21220,8435,21090,21320,21080
06/26/2019,21115,7288,21035,21240,21015
06/25/2019,21055,8402,21170,21265,21030
06/24/2019,21180,9952,21145,21285,21130
06/21/2019,21190,16420,21475,21475,21140
06/20/2019,21460,14186,21310,21595,21300
06/19/2019,21310,9863,21210,21335,21200
06/18/2019,21210,14852,21105,21230,20875
06/17/2019,21095,8582,21020,21155,21015
06/14/2019,21015,7033,21010,21085,20945
06/13/2019,21035,8653,21010,21100,20900
06/12/2019,21045,7178,21175,21260,21025
06/11/2019,21190,16688,21125,21330,21070
06/10/2019,21120,16826,21150,21250,21075
06/07/2019,21035,13033,20855,21065,20805
06/06/2019,20880,11599,20780,20915,20660
06/05/2019,20790,11316,20725,20870,20645
06/04/2019,20725,11991,20470,20730,20285
06/03/2019,20465,13974,20390,20525,20295
05/31/2019,20425,20732,20950,20965,20380
05/30/2019,20955,6781,20900,20995,20810
05/29/2019,20880,11413,20980,21065,20735
05/28/2019,21020,10448,21150,21295,20995
05/24/2019,21130,3508,21150,21265,21115
05/23/2019,20865,9033,21240,21240,20820
05/22/2019,21240,8256,21375,21415,21190
05/21/2019,21380,6873,21205,21400,21165
05/20/2019,21155,9667,21200,21445,21065
05/17/2019,21235,10038,21250,21405,21150
05/16/2019,21265,10262,21195,21355,20955
05/15/2019,21170,11394,21165,21205,20890
05/14/2019,21145,11790,20815,21195,20765
05/13/2019,20820,14538,21325,21385,20785
05/10/2019,21505,24261,21330,21595,21085
05/09/2019,21340,16686,21530,21560,21085
05/08/2019,21545,14148,21680,21695,21435
05/07/2019,21675,15353,22135,22170,21535
05/06/2019,22210,10256,22310,22310,21925
05/03/2019,22490,3861,22310,22505,22225
05/02/2019,22295,5049,22160,22380,22160
05/01/2019,22215,4496,22500,22500,22190
04/30/2019,22375,5198,22400,22430,22275
04/29/2019,22405,3102,22365,22470,22345
04/26/2019,22345,9870,22165,22380,22075
04/25/2019,22220,9128,22175,22375,22165
04/24/2019,22240,6122,22360,22390,22145
04/23/2019,22355,5981,22285,22375,22130
04/22/2019,22260,5680,22270,22305,22105
04/18/2019,22265,7244,22275,22305,22070
04/17/2019,22280,6672,22270,22365,22200
04/16/2019,22265,6231,22170,22330,22140
04/15/2019,22160,7302,22075,22240,22055
04/12/2019,22070,7699,21725,22095,21705
04/11/2019,21725,6070,21665,21755,21635
04/10/2019,21665,6378,21640,21750,21565
04/09/2019,21635,5562,21825,21835,21610
04/08/2019,21815,5572,21875,21985,21735
04/05/2019,21875,6012,21795,21890,21750
